dacb,channel,0,16,32,48
16,13,279.3722,298.61655,318.14285,337.656
16,14,337.547,357.01315,376.15976,395.30356
16,15,317.44644,336.1231,355.43045,374.5094
16,16,302.3487,321.0987,340.45865,359.54886
16,17,306.08176,325.6175,345.2594,364.92294
16,18,329.0122,349.06955,369.0141,388.94644
16,19,325.6532,345.0827,364.3205,383.2218
16,20,341.17294,361.281,380.91916,400.67856
16,21,309.73026,329.84305,349.3487,369.26974
16,22,320.1532,340.36655,359.7378,379.93045
16,23,347.9079,367.8449,387.7425,407.92105
16,24,331.14285,351.01505,370.4878,390.3778
16,25,337.7265,356.64285,377.3966,396.34586
16,26,329.08084,349.344,369.1983,389.2284
16,27,328.3139,348.03854,367.0752,386.66824
16,28,315.6626,335.4154,355.79324,375.87875
16,29,337.76315,357.51785,377.08176,396.84775
16,30,317.76315,337.11655,357.6231,377.39474
16,31,356.74435,377.05264,396.3769,416.703
16,32,342.8703,362.5752,381.29135,400.62875
16,33,307.33176,326.89005,347.14755,366.42105
16,34,282.4953,302.04886,321.8863,341.28665
16,35,319.02444,338.32425,359.16446,378.84116
16,36,280.47275,299.49155,318.2049,336.81204
16,37,287.15414,305.66354,325.24435,343.625
16,38,288.484,307.1654,326.5404,344.97556
16,39,276.78854,294.73965,313.2434,331.2284
16,40,274.7143,293.20865,312.54416,330.8816
16,41,303.1184,321.13535,339.63535,358.1231
16,42,291.85526,310.2951,329.24625,347.859
16,43,301.26035,319.1861,338.6043,356.9953
16,44,311.10056,329.43985,348.06296,366.33084
16,45,330.6955,348.8703,367.42105,385.1184
16,46,290.26505,308.0207,327.23215,344.96054
16,47,327.8816,346.3158,365.5066,383.28665
16,48,293.00375,311.1795,330.18704,348.5376
16,49,298.81955,317.33554,336.1203,354.78384
16,50,275.34305,293.55075,311.2124,329.70865
16,51,298.19174,316.76315,335.5282,354.1673
16,52,284.45865,302.8186,322.2782,341.0019
16,53,288.73495,307.50375,325.7688,344.0564
16,54,293.5188,313.03195,331.2049,350.74435
16,55,273.81766,292.9483,312.20584,331.72275
16,56,283.4859,302.43045,321.9699,340.94455
16,57,314.1607,332.8919,351.5423,370.3421
16,58,295.7688,314.0019,334.1391,352.06204
16,59,304.2763,323.53946,343.3468,362.51035
16,60,281.0216,300.4032,319.26315,338.81766
16,61,309.3581,328.38345,347.56296,366.5658
16,62,329.23495,348.16635,365.9934,384.43234
16,63,290.4549,308.85056,328.0968,346.78195
16,64,306.8919,325.3562,343.8017,362.3825
16,65,297.6936,317.1325,335.7754,355.1579
16,66,300.3675,318.8891,337.5122,356.68985
16,67,284.84586,303.2387,321.8487,340.63815
16,68,276.5188,294.9455,314.0893,333.0545
16,69,277.56015,296.5705,315.88065,334.7199
16,70,256.42575,274.96524,293.4859,311.3957
16,71,278.11935,296.5545,315.18985,333.89285
16,72,303.4953,323.6438,343.641,363.37405
16,73,301.8628,319.5207,338.51974,356.74625
16,74,10.50094,28.843044,46.98308,65.29511
16,75,7.108083,26.993422,46.44079,65.31485
16,76,0,0,0,0
16,77,0,0,0,1.625
32,0,390.3722,410.047,430.2387,449.74435
32,1,422.4812,441.91916,461.12405,480.1269
32,2,373.85715,393.1654,413.3872,432.73215
32,3,373.859,392.83554,412.0169,431.35526
32,4,387.68234,407.23495,427.82144,447.20206
32,5,398.70676,417.30734,436.1363,454.97275
32,6,364.4483,383.45395,403.07614,423.1184
32,7,412.74435,431.953,451.97275,471.36465
32,8,423.32895,442.9784,462.05826,481.60995
32,9,449.67575,468.91354,488.3703,507.71616
32,10,381.0987,400.66446,419.2143,439.0545
32,11,376.8722,396.58176,416.63535,436.48495
32,12,415.31674,434.41824,453.8966,473.1081
32,13,358.92386,378.41916,397.68985,417.45395
32,14,417.10245,436.6184,455.7688,475.45206
32,15,393.8637,412.984,432.12125,451.4925
32,16,380.06766,398.78854,417.8468,437.1363
32,17,389.38815,409.1607,428.6626,448.12405
32,18,407.08646,427.27255,447.21524,467.5686
